,U,delta,r
187,7.665298938751221,1.4205023050308228,7.514809840358794e-05
188,7.665298938751221,1.3438173532485962,7.109127182047814e-05
189,7.665298938751221,1.3069881200790405,6.91429158905521e-05
190,7.665298938751221,1.2195571660995483,6.451759691117331e-05
191,7.665298938751221,1.3873491287231445,7.33942142687738e-05
192,7.665298938751221,1.288461685180664,6.816282257204875e-05
193,7.665298938751221,1.1312053203582764,5.9843565395567566e-05
194,7.665298938751221,1.151586651802063,6.092178955441341e-05
195,7.665298938751221,1.0743354558944702,5.6835011491784826e-05
196,7.665298938751221,1.2264695167541504,6.488327926490456e-05
197,7.665298938751221,1.2574161291122437,6.652042793575674e-05
198,7.665298938751221,1.1048647165298462,5.845008490723558e-05
199,7.665298938751221,1.092260479927063,5.778328704764135e-05
200,7.665298938751221,1.1960934400558472,6.327630399027839e-05
201,7.665298938751221,1.0220586061477661,5.4069434554548934e-05
202,7.665298938751221,0.9178913235664368,4.855872975895181e-05
203,7.665298938751221,0.9100939035415649,4.81462266179733e-05
204,7.665298938751221,0.7722892761230469,4.0856019040802494e-05
205,7.665298938751221,0.6867471933364868,3.63306280632969e-05
206,7.665298938751221,0.8343324065208435,4.413825081428513e-05
207,7.665298938751221,0.9511477947235107,5.031807813793421e-05
208,7.665298938751221,1.0933231115341187,5.783950473414734e-05
209,7.665298938751221,1.2031100988388062,6.36475087958388e-05
210,7.665298938751221,1.1331121921539307,5.994444654788822e-05
211,7.665298938751221,1.043315052986145,5.519395199371502e-05
212,7.665298938751221,1.154700517654419,6.108652451075613e-05
213,7.665298938751221,1.0848920345306396,5.7393477618461475e-05
214,7.665298938751221,1.2450041770935059,6.586380914086476e-05
215,7.665298938751221,1.3584315776824951,7.186440052464604e-05
216,7.665298938751221,1.2054654359817505,6.37721095699817e-05
217,7.665298938751221,1.2667392492294312,6.70136432745494e-05
218,7.665298938751221,1.3500871658325195,7.142296090023592e-05
219,7.665298938751221,1.4863468408584595,7.86314340075478e-05
220,7.665298938751221,1.3733078241348267,7.265138992806897e-05
221,7.665298938751221,1.3897721767425537,7.352239481406286e-05
222,7.665298938751221,1.254455327987671,6.636379839619622e-05
223,7.665298938751221,1.2756741046905518,6.748632586095482e-05
224,7.665298938751221,1.1361110210418701,6.0103091527707875e-05
225,7.665298938751221,1.3088717460632324,6.924256740603596e-05
226,7.665298938751221,1.2066258192062378,6.383350410033017e-05
227,7.665298938751221,1.0941860675811768,5.7885157730197534e-05
